year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2002,ARGENTINA,AR,AGUIRRE,AR-86007,SANTIAGO DEL ESTERO,AR-86,7272.950215
2002,ARGENTINA,AR,ALBERDI,AR-86014,SANTIAGO DEL ESTERO,AR-86,23954.26313
2002,ARGENTINA,AR,ALMIRANTE BROWN,AR-22007,CHACO,AR-22,23412.52402
2002,ARGENTINA,AR,AMBATO,AR-10007,CATAMARCA,AR-10,0.3172848821
2002,ARGENTINA,AR,ANCASTI,AR-10014,CATAMARCA,AR-10,30.09257791
2002,ARGENTINA,AR,ANTA,AR-66007,SALTA,AR-66,25449.90197
2002,ARGENTINA,AR,ATAMISQUI,AR-86021,SANTIAGO DEL ESTERO,AR-86,434.4977692
2002,ARGENTINA,AR,AVELLANEDA,AR-86028,SANTIAGO DEL ESTERO,AR-86,1692.380521
2002,ARGENTINA,AR,AYACUCHO,AR-74007,SAN LUIS,AR-74,2019.445042
2002,ARGENTINA,AR,BANDA,AR-86035,SANTIAGO DEL ESTERO,AR-86,2110.411621
2002,ARGENTINA,AR,BELGRANO,AR-74014,SAN LUIS,AR-74,1849.869
2002,ARGENTINA,AR,BELGRANO,AR-86042,SANTIAGO DEL ESTERO,AR-86,6892.887623
2002,ARGENTINA,AR,BERMEJO,AR-22014,CHACO,AR-22,255.2069596
2002,ARGENTINA,AR,BERMEJO,AR-34007,FORMOSA,AR-34,1647.172023
2002,ARGENTINA,AR,CALAMUCHITA,AR-14007,CORDOBA,AR-14,119.8414746
2002,ARGENTINA,AR,CAPAYAN,AR-10042,CATAMARCA,AR-10,314.1094226
2002,ARGENTINA,AR,CAPITAL,AR-10049,CATAMARCA,AR-10,15.69007912
2002,ARGENTINA,AR,CAPITAL,AR-18021,CORRIENTES,AR-18,102.080427
2002,ARGENTINA,AR,CAPITAL,AR-46014,LA RIOJA,AR-46,570.7575625
2002,ARGENTINA,AR,CAPITAL,AR-86049,SANTIAGO DEL ESTERO,AR-86,3491.866111
2002,ARGENTINA,AR,CERRILLOS,AR-66035,SALTA,AR-66,20.13634299
2002,ARGENTINA,AR,CHACABUCO,AR-22028,CHACO,AR-22,3521.273263
2002,ARGENTINA,AR,CHACABUCO,AR-74028,SAN LUIS,AR-74,544.3128207
2002,ARGENTINA,AR,CHAMICAL,AR-46035,LA RIOJA,AR-46,203.8996792
2002,ARGENTINA,AR,CHOYA,AR-86063,SANTIAGO DEL ESTERO,AR-86,6759.86948
2002,ARGENTINA,AR,COMANDANTE FERNANDEZ,AR-22021,CHACO,AR-22,458.9800638
2002,ARGENTINA,AR,COPO,AR-86056,SANTIAGO DEL ESTERO,AR-86,3751.066444
2002,ARGENTINA,AR,CRUZ ALTA,AR-90014,TUCUMAN,AR-90,406.7282918
